Longitude,Latitude
"[74.22541104679519,","22.682991665598404],"
"[74.22959018710041,","22.683924682947953],"
"[74.23246189677785,","22.684589481030443],"
"[74.24213844856706,","22.690238973057358],"
"[74.24217186416266,","22.690256266927932],"
"[74.24220686333268,","22.690270077723913],"
"[74.24224308415147,","22.690280262628146],"
"[74.24228015206032,","22.690286716318756],"
"[74.24231768374074,","22.690289372058267],"
"[74.24235529107845,","22.690288202383734],"
"[74.27226827590765,","22.687831044544975],"
"[74.28768185812204,","22.6905975139383],"
"[74.28769875720604,","22.690600145437696],"
"[74.31742653500605,","22.694527923237697],"
"[74.31746826854314,","22.69453104986181],"
"[74.31751008820076,","22.694529443583182],"
"[74.31755145894886,","22.69452312495214],"
"[74.33233674719433,","22.691400405776964],"
"[74.34011245790569,","22.69361693655355],"
"[74.34014806921054,","22.69362520966973],"
"[74.35053485051137,","22.69550287351267],"
"[74.35459694695395,","22.69661247890831],"
"[74.35463586489647,","22.69662088892967],"
"[74.38166086489647,","22.70095422222967],"
"[74.38170580596861,","22.700958637454004],"
"[74.38175095019201,","22.700957545088162],"
"[74.42972595019201,","22.69685754508816],"
"[74.42975544272865,","22.69685382616023],"
"[74.42978454154306,","22.696847751693852],"
"[74.46898414148548,","22.687006185433486],"
"[74.488061115223,","22.68226185391651],"
"[74.50332865710291,","22.684189308478537],"
"[74.50337714558249,","22.684192215978968],"
"[74.52924381228249,","22.684042215978966],"
"[74.5292769341997,","22.684040537558715],"
"[74.53592316281032,","22.683404137636934],"
"[74.58347127612598,","22.685566803629992],"
"[74.61022880842057,","22.686900097116933],"
"[74.61026468076288,","22.68690014347668],"
"[74.62796468076289,","22.68606403227667],"
"[74.6279930093079,","22.686061600416906],"
"[74.62802106747137,","22.68605700043139],"
"[74.64291407232935,","22.68302359899851],"
"[74.67677010751865,","22.686282186922707],"
"[74.67681934050346,","22.68628363202223],"
"[74.70949342985065,","22.685065464218283],"
"[74.72395174984109,","22.687212766904466],"
"[74.74309727485134,","22.6924236794152],"
"[74.74313738903037,","22.69243224115862],"
"[74.74317820439897,","22.692436310125977],"
"[74.75297820439897,","22.692866865625977],"
"[74.75301947909094,","22.692866374288236],"
"[74.75306044220402,","22.69286128852619],"
"[74.75540488670401,","22.69243628852619],"
"[74.75543925066965,","22.692428350709378],"
"[74.7554727027353,","22.69241717706296],"
"[74.75550493895118,","22.692402869112136],"
"[74.75553566641484,","22.69238555686079],"
"[74.75863158637281,","22.69044128604838],"
"[74.78249577847996,","22.67902544256458],"
"[74.782523043205,","22.6790109728041],"
"[74.78254900699841,","22.67899428087092],"
